Feature,Counts,ImportanceScore,Rank
c20:3n3_cis_11_14_17_eicosatrienoic_acid-whole_body-FAME-g/100g,5,0.001667,18.0
ash-whole_body-wet_chemistry-g/100g,5,0.001667,18.0
moisture-fillet-NIR-g/100g,4,0.001333,19.0
c20:4n3_eicosatetraenoic_acid-whole_body-FAME-percentage,4,0.001333,19.0
fat-fillet-NIR-g/100g,4,0.001333,19.0
c20:5n3_eicosapentaenoic_acid-whole_body-FAME-g/100g,4,0.001333,19.0
isoleucine-whole_body-HPLC-DAD-g/100g,4,0.001333,19.0
c15:0_pentadecanoic_acid-whole_body-FAME-g/100g,4,0.001333,19.0
c18:3n3_alpha_linolenic_acid-whole_body-FAME-g/100g,4,0.001333,19.0
c20:3n3_cis_11_14_17_eicosatrienoic_acid-whole_body-FAME-percentage,3,0.001,20.0
crude_protein-whole_body-NIR-g/100g,3,0.001,20.0
aspartic_acid_and_asparagine-whole_body-HPLC-DAD-g/100g,3,0.001,20.0
alanine-whole_body-HPLC-DAD-g/100g,3,0.001,20.0
c18:2n6c_linoleic_acid-whole_body-FAME-percentage,3,0.001,20.0
tyrosine-whole_body-HPLC-DAD-g/100g,3,0.001,20.0
lysine-whole_body-HPLC-DAD-g/100g,3,0.001,20.0
c22:1n9_cetoleic_erucic_acid-whole_body-FAME-percentage,2,0.000667,21.0
c20:4n3_eicosatetraenoic_acid-whole_body-FAME-g/100g,2,0.000667,21.0
energy_calc-whole_body-wet_chemistry-KJ/100g,2,0.000667,21.0
c20:0_arachidic_acid-whole_body-FAME-g/100g,2,0.000667,21.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-g/100g,2,0.000667,21.0
c18:0_stearic_acid-whole_body-FAME-g/100g,2,0.000667,21.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-g/100g,2,0.000667,21.0
c20:4n6_arachidonic_acid-whole_body-FAME-g/100g,2,0.000667,21.0
c22:5n3_docosapentaenoic_acid-whole_body-FAME-g/100g,2,0.000667,21.0
saturated_fatty_acids-fillet-NIR-g/100g,2,0.000667,21.0
c18:0_stearic_acid-whole_body-FAME-percentage,2,0.000667,21.0
arginine-whole_body-HPLC-DAD-g/100g,2,0.000667,21.0
moisture-whole_body-wet_chemistry-g/100g,2,0.000667,21.0
c20:1_gadoleic_acid-whole_body-FAME-g/100g,1,0.000333,22.0
fat-whole_body-wet_chemistry-g/100g,1,0.000333,22.0
threonine-whole_body-HPLC-DAD-g/100g,1,0.000333,22.0
c18:1t_elaidic_acid-whole_body-FAME-g/100g,1,0.000333,22.0
c21:0_heneicosanoic_acid-whole_body-FAME-percentage,1,0.000333,22.0
c20:5n3_eicosapentaenoic_acid-whole_body-FAME-percentage,1,0.000333,22.0
c16:2n4_hexadecadienoic_acid-whole_body-FAME-g/100g,1,0.000333,22.0
c16:1_palmitoleic_acid-whole_body-FAME-g/100g,1,0.000333,22.0
c18:2n6c_linoleic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c12:0_lauric_acid-whole_body-FAME-g/100g,0,0.0,23.0
c18:1n7_vaccenic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c17:1_cis_10_heptadecanoic_acid-whole_body-FAME-percentage,0,0.0,23.0
c17:1_cis_10_heptadecanoic_acid-whole_body-FAME-g/100g,0,0.0,23.0
phenylalanine-whole_body-HPLC-DAD-g/100g,0,0.0,23.0
c20:2_eicosadienoic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c20:2_eicosadienoic_acid-whole_body-FAME-percentage,0,0.0,23.0
c16:0_palmitic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c12:0_lauric_acid-whole_body-FAME-percentage,0,0.0,23.0
c18:1n9c_oleic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c11:0_undecanoic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c11:0_undecanoic_acid-whole_body-FAME-percentage,0,0.0,23.0
c10:0_capric_acid-whole_body-FAME-percentage,0,0.0,23.0
c10:0_capric_acid-whole_body-FAME-g/100g,0,0.0,23.0
c17:0_heptadecanoic_acid-whole_body-FAME-g/100g,0,0.0,23.0
total_amino_acids-whole_body-HPLC-DAD-g/100g,0,0.0,23.0
c16:2n4_hexadecadienoic_acid-whole_body-FAME-percentage,0,0.0,23.0
ash-whole_body-NIR-g/100g,0,0.0,23.0
c14:0_myristic_acid-whole_body-FAME-percentage,0,0.0,23.0
c14:0_myristic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c18:1n7_vaccenic_acid-whole_body-FAME-percentage,0,0.0,23.0
moisture-whole_body-NIR-g/100g,0,0.0,23.0
c8:0_caprylic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c24:0_lignoceric_acid-whole_body-FAME-g/100g,0,0.0,23.0
c18:2t_linolelaidic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c18:2t_linolelaidic_acid-whole_body-FAME-percentage,0,0.0,23.0
c8:0_caprylic_acid-whole_body-FAME-percentage,0,0.0,23.0
c6:0_caproic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c6:0_caproic_acid-whole_body-FAME-percentage,0,0.0,23.0
c4:0_butyric_acid-whole_body-FAME-g/100g,0,0.0,23.0
fat-viscera-NIR-g/100g,0,0.0,23.0
c4:0_butyric_acid-whole_body-FAME-percentage,0,0.0,23.0
c13:0_tridecanoic_acid-whole_body-FAME-percentage,0,0.0,23.0
fat-liver-NIR-g/100g,0,0.0,23.0
c24:0_lignoceric_acid-whole_body-FAME-percentage,0,0.0,23.0
c21:0_heneicosanoic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c23:0_tricosanoic_acid-whole_body-FAME-percentage,0,0.0,23.0
c23:0_tricosanoic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c15:1_cis_10_pentadecanoic_acid-whole_body-FAME-percentage,0,0.0,23.0
c22:5n3_docosapentaenoic_acid-whole_body-FAME-percentage,0,0.0,23.0
c22:2_dicosadienoic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c15:1_cis_10_pentadecanoic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c18:4n3_stearidonic_acid-whole_body-FAME-percentage,0,0.0,23.0
c18:4n3_stearidonic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c22:2_dicosadienoic_acid-whole_body-FAME-percentage,0,0.0,23.0
c22:1n9_cetoleic_erucic_acid-whole_body-FAME-g/100g,0,0.0,23.0
c13:0_tridecanoic_acid-whole_body-FAME-g/100g,0,0.0,23.0
